央视高频,#genre#
CCTV-9纪录,http://110.177.144.14:9003/hls/10/index.m3u8
CCTV-10科教,http://110.177.144.14:9003/hls/11/index.m3u8
CCTV-11戏曲,http://110.177.144.14:9003/hls/12/index.m3u8
CCTV-12社会与法,http://110.177.144.14:9003/hls/13/index.m3u8
CCTV-13新闻,http://110.177.144.14:9003/hls/14/index.m3u8
CCTV-14少儿,http://110.177.144.14:9003/hls/15/index.m3u8
CCTV-15音乐,http://110.177.144.14:9003/hls/16/index.m3u8
CCTV-16奥林匹克,http://110.177.144.14:9003/hls/17/index.m3u8
CCTV-17农业农村,http://110.177.144.14:9003/hls/18/index.m3u8
CCTV-5+体育赛事,http://110.177.144.14:9003/hls/6/index.m3u8
北京卫视,http://110.177.144.14:9003/hls/20/index.m3u8
天津卫视,http://171.15.18.199:8180/TV00000000000000000022@HHZT            
东方卫视,http://171.15.18.199:8180/TV00000000000000000021@HHZT           
东南卫视,http://110.177.144.14:9003/hls/24/index.m3u8
海南卫视,http://110.177.144.14:9003/hls/28/index.m3u8
广东卫视,http://110.177.144.14:9003/hls/26/index.m3u8
广西卫视,http://110.177.144.14:9003/hls/27/index.m3u8
深圳卫视,http://117.114.153.18:8182/hls/TV00000000000000000101@HHZT.m3u8
江苏卫视,http://110.177.144.14:9003/hls/35/index.m3u8
江西卫视,http://110.177.144.14:9003/hls/36/index.m3u8
浙江卫视,http://171.15.18.199:8180/TV00000000000000000020@HHZT            
湖南卫视,http://110.177.144.14:9003/hls/33/index.m3u8
湖北卫视,http://110.177.144.14:9003/hls/32/index.m3u8
安徽卫视,http://110.177.144.14:9003/hls/21/index.m3u8
山东卫视,http://171.15.18.199:8180/TV00000000000000000024@HHZT  
山西卫视,http://110.177.144.14:9003/hls/19/index.m3u8
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://110.177.144.14:9003/hls/30/index.m3u8
河北卫视,http://110.177.144.14:9003/hls/29/index.m3u8
厦门卫视,http://117.114.153.18:8182/hls/TV00000000000000000044@HHZT.m3u8
龙江卫视,http://110.177.144.14:9003/hls/31/index.m3u8
吉林卫视,http://110.177.144.14:9003/hls/34/index.m3u8
辽宁卫视,http://110.177.144.14:9003/hls/37/index.m3u8
云南卫视,http://171.15.18.199:8180/TV00000000000000000034@HHZT             
贵州卫视,http://117.114.153.18:8182/hls/TV00000000000000000040@HHZT.m3u8
四川卫视,http://171.15.18.199:8180/TV00000000000000000040@HHZT              
重庆卫视,http://110.177.144.14:9003/hls/22/index.m3u8
陕西卫视,http://171.15.18.199:8180/TV00000000000000000039@HHZT
甘肃卫视,http://110.177.144.14:9003/hls/25/index.m3u8
宁夏卫视,http://110.177.144.14:9003/hls/39/index.m3u8
青海卫视,http://110.177.144.14:9003/hls/40/index.m3u8
内蒙卫视,http://110.177.144.14:9003/hls/38/index.m3u8
西藏卫视,http://117.114.153.18:8182/hls/TV00000000000000000035@HHZT.m3u8
新疆卫视,http://117.114.153.18:8182/hls/TV00000000000000000031@HHZT.m3u8
兵团卫视,http://117.114.153.18:8182/hls/TV00000000000000000107@HHZT.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
卡酷少儿,http://1.180.2.93:9901/tsfile/live/1017_1.m3u8
哈哈炫动,http://1.180.2.93:9901/tsfile/live/1011_1.m3u8
优漫卡通,http://1.180.2.93:9901/tsfile/live/1014_1.m3u8
嘉佳卡通,http://1.180.2.93:9901/tsfile/live/1032_1.m3u8
金鹰卡通,http://1.180.2.93:9901/tsfile/live/1012_1.m3u8


CCTV-1综合,http://117.114.153.18:8182/hls/TV00000000000000000099@HHZT.m3u8
CCTV-2财经,http://117.114.153.18:8182/hls/TV00000000000000000140@HHZT.m3u8
CCTV-3综艺,http://117.114.153.18:8182/hls/TV00000000000000000104@HHZT.m3u8
CCTV-4中文国际,http://117.114.153.18:8182/hls/TV00000000000000000001@HHZT.m3u8
CCTV-5体育,http://117.114.153.18:8182/hls/TV00000000000000000105@HHZT.m3u8
CCTV-6电影,http://117.114.153.18:8182/hls/TV00000000000000000091@HHZT.m3u8
CCTV-7国防军事,http://117.114.153.18:8182/hls/TV00000000000000000141@HHZT.m3u8
CCTV-8电视剧,http://117.114.153.18:8182/hls/TV00000000000000000106@HHZT.m3u8
CCTV-9纪录,http://117.114.153.18:8182/hls/TV00000000000000000142@HHZT.m3u8
CCTV-10科教,http://117.114.153.18:8182/hls/TV00000000000000000143@HHZT.m3u8
CCTV-11戏曲,http://117.114.153.18:8182/hls/TV00000000000000000002@HHZT.m3u8
CCTV-12社会与法,http://117.114.153.18:8182/hls/TV00000000000000000144@HHZT.m3u8
CCTV-13新闻,http://117.114.153.18:8182/hls/TV00000000000000000003@HHZT.m3u8
CCTV-14少儿,http://171.15.18.199:8180/TV00000000000000000014@HHZT              
CCTV-15音乐,http://171.15.18.199:8180/TV00000000000000000015@HHZT      
CCTV-16奥林匹克,http://117.114.153.18:8182/hls/TV00000000000000000136@HHZT.m3u8
CCTV-17农业农村,http://117.114.153.18:8182/hls/TV00000000000000000021@HHZT.m3u8
CCTV-5+体育赛事,http://117.114.153.18:8182/hls/TV00000000000000000066@HHZT.m3u8
北京卫视,http://117.114.153.18:8182/hls/TV00000000000000000090@HHZT.m3u8
天津卫视,http://117.114.153.18:8182/hls/TV00000000000000000085@HHZT.m3u8
东方卫视,http://117.114.153.18:8182/hls/TV00000000000000000138@HHZT.m3u8
东南卫视,http://117.114.153.18:8182/hls/TV00000000000000000156@HHZT.m3u8
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
广东卫视,http://117.114.153.18:8182/hls/TV00000000000000000027@HHZT.m3u8
广西卫视,http://117.114.153.18:8182/hls/TV00000000000000000037@HHZT.m3u8
深圳卫视,http://117.114.153.18:8182/hls/TV00000000000000000101@HHZT.m3u8
江苏卫视,http://117.114.153.18:8182/hls/TV00000000000000000089@HHZT.m3u8
江西卫视,http://117.114.153.18:8182/hls/TV00000000000000000019@HHZT.m3u8
浙江卫视,http://117.114.153.18:8182/hls/TV00000000000000000102@HHZT.m3u8
湖南卫视,http://117.114.153.18:8182/hls/TV00000000000000000148@HHZT.m3u8
湖北卫视,http://117.114.153.18:8182/hls/TV00000000000000000086@HHZT.m3u8
安徽卫视,http://117.114.153.18:8182/hls/TV00000000000000000087@HHZT.m3u8
山东卫视,http://117.114.153.18:8182/hls/TV00000000000000000083@HHZT.m3u8
山西卫视,http://117.114.153.18:8182/hls/TV00000000000000000030@HHZT.m3u8
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://117.114.153.18:8182/hls/TV00000000000000000016@HHZT.m3u8
河北卫视,http://117.114.153.18:8182/hls/TV00000000000000000013@HHZT.m3u8
厦门卫视,http://117.114.153.18:8182/hls/TV00000000000000000044@HHZT.m3u8
龙江卫视,http://117.114.153.18:8182/hls/TV00000000000000000084@HHZT.m3u8
吉林卫视,http://117.114.153.18:8182/hls/TV00000000000000000038@HHZT.m3u8
辽宁卫视,http://117.114.153.18:8182/hls/TV00000000000000000119@HHZT.m3u8
云南卫视,http://117.114.153.18:8182/hls/TV00000000000000000028@HHZT.m3u8
贵州卫视,http://117.114.153.18:8182/hls/TV00000000000000000040@HHZT.m3u8
四川卫视,http://117.114.153.18:8182/hls/TV00000000000000000033@HHZT.m3u8
重庆卫视,http://117.114.153.18:8182/hls/TV00000000000000000120@HHZT.m3u8
陕西卫视,http://171.15.18.199:8180/TV00000000000000000039@HHZT
甘肃卫视,http://117.114.153.18:8182/hls/TV00000000000000000014@HHZT.m3u8
宁夏卫视,http://117.114.153.18:8182/hls/TV00000000000000000018@HHZT.m3u8
青海卫视,http://117.114.153.18:8182/hls/TV00000000000000000034@HHZT.m3u8
内蒙卫视,http://117.114.153.18:8182/hls/TV00000000000000000010@HHZT.m3u8
西藏卫视,http://117.114.153.18:8182/hls/TV00000000000000000035@HHZT.m3u8
新疆卫视,http://117.114.153.18:8182/hls/TV00000000000000000031@HHZT.m3u8
兵团卫视,http://117.114.153.18:8182/hls/TV00000000000000000107@HHZT.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
卡酷少儿,http://1.180.2.93:9901/tsfile/live/1017_1.m3u8
哈哈炫动,http://1.180.2.93:9901/tsfile/live/1011_1.m3u8
优漫卡通,http://1.180.2.93:9901/tsfile/live/1014_1.m3u8
嘉佳卡通,http://1.180.2.93:9901/tsfile/live/1032_1.m3u8
金鹰卡通,http://1.180.2.93:9901/tsfile/live/1012_1.m3u8
 

 
CCTV-1综合,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-6电影,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://58.221.214.82:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://58.221.214.82:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://58.221.214.82:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14少儿,http://58.221.214.82:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://58.221.214.82:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?key=txiptv
CCTV-17农业农村,http://58.221.214.82:9901/tsfile/live/0003_2.m3u8?key=txiptv
CCTV-5+体育赛事,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?key=txiptv
北京卫视,http://58.221.214.82:9901/tsfile/live/0122_1.m3u8?key=txiptv
天津卫视,http://58.221.214.82:9901/tsfile/live/0135_1.m3u8?key=txiptv
东方卫视,http://58.221.214.82:9901/tsfile/live/0107_1.m3u8?key=txiptv
东南卫视,http://58.221.214.82:9901/tsfile/live/0137_1.m3u8?key=txiptv
海南卫视,http://58.221.214.82:9901/tsfile/live/0016_2.m3u8?key=txiptv
广东卫视,http://58.221.214.82:9901/tsfile/live/0125_1.m3u8?key=txiptv
广西卫视,http://58.221.214.82:9901/tsfile/live/0113_1.m3u8?key=txiptv
深圳卫视,http://58.221.214.82:9901/tsfile/live/0126_1.m3u8?key=txiptv
江苏卫视,http://58.221.214.82:9901/tsfile/live/0127_1.m3u8?key=txiptv
江西卫视,http://58.221.214.82:9901/tsfile/live/0138_1.m3u8?key=txiptv
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8?key=txiptv
湖北卫视,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8?key=txiptv
安徽卫视,http://58.221.214.82:9901/tsfile/live/0130_1.m3u8?key=txiptv
山东卫视,http://58.221.214.82:9901/tsfile/live/0131_1.m3u8?key=txiptv
山西卫视,http://58.221.214.82:9901/tsfile/live/0017_1.m3u8?key=txiptv
教育卫视,http://58.58.111.222:808/hls/67/index.m3u8?1.m3u8?key=txiptv
河南卫视,http://58.221.214.82:9901/tsfile/live/0139_1.m3u8?key=txiptv
河北卫视,http://110.80.17.38:9999/tsfile/live/0117_1.m3u8??key=txiptv
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8??key=txiptv
龙江卫视,http://58.221.214.82:9901/tsfile/live/0143_1.m3u8?key=txiptv
吉林卫视,http://58.221.214.82:9901/tsfile/live/0116_1.m3u8?key=txiptv
辽宁卫视,http://58.221.214.82:9901/tsfile/live/0121_1.m3u8?key=txiptv
云南卫视,http://171.15.18.199:8180/TV00000000000000000034@HHZT?txiptv             
贵州卫视,http://58.221.214.82:9901/tsfile/live/0120_1.m3u8?key=txiptv
四川卫视,http://58.221.214.82:9901/tsfile/live/0123_1.m3u8?key=txiptv
重庆卫视,http://58.221.214.82:9901/tsfile/live/0142_1.m3u8?key=txiptv
陕西卫视,http://171.15.18.199:8180/TV00000000000000000039@HHZT?txiptv
甘肃卫视,http://110.80.17.38:9999/tsfile/live/0141_1.m3u8??key=txiptv
宁夏卫视,http://110.80.17.38:9999/tsfile/live/0016_1.m3u8??key=txiptv
青海卫视,http://58.221.214.82:9901/tsfile/live/0018_1.m3u8?key=txiptv
内蒙卫视,http://zqh2333.top:2222/rtp/239.93.24.8:5140?u8?8?key=txiptv
西藏卫视,http://zqh2333.top:2222/rtp/239.93.24.175:5140?u8?key=txiptv
新疆卫视,http://110.80.17.38:9999/tsfile/live/0018_1.m3u8??key=txiptv
兵团卫视,http://110.80.17.38:9999/tsfile/live/0015_1.m3u8??key=txiptv
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws&u8??key=txiptv
卡酷少儿,http://zqh2333.top:2222/rtp/239.93.24.208:5140?u8?key=txiptv
哈哈炫动,http://zqh2333.top:2222/rtp/239.93.24.33:5140?3u8?key=txiptv
嘉佳卡通,http://zqh2333.top:2222/rtp/239.93.24.246:5140?u8?key=txiptv
优漫卡通,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8?key=txiptv
金鹰卡通,http://110.80.17.38:9999/tsfile/live/0016_2.m3u8??key=txiptv
山东齐鲁,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=qlpd
山东新闻,http://58.58.111.222:808/hls/63/index.m3u8?key=txiptv
山东综艺,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxzy
山东生活,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxsh
山东文旅,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxys
山东农科,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=nkpd
山东体育,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=typd
山东教育,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山东少儿,http://58.58.111.222:808/hls/65/index.m3u8?key=txiptv
山东卫视,http://58.58.111.222:808/hls/57/index.m3u8?key=txiptv







CCTV1综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8
CCTV1综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1综合,http://112.122.32.4:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2财经,http://221.226.4.10:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3综艺,http://221.226.4.10:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4中文国际,http://221.226.4.10:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5体育,http://221.226.4.10:85/tsfile/live/1000_1.m3u8?key=txiptv
CCTV6电影,http://221.226.4.10:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7国防军事,http://221.226.4.10:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8电视剧,http://221.226.4.10:85/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9纪录,http://221.226.4.10:85/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10科教,http://221.226.4.10:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11戏曲,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12社会与法,http://221.226.4.10:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13新闻,http://221.226.4.10:85/tsfile/live/1001_1.m3u8?key=txiptv
CCTV14少儿,http://221.226.4.10:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15音乐,http://zqh2333.top:2222/rtp/239.93.24.103:5140?key=txiptv
CCTV16奥林匹克,http://zqh2333.top:2222/rtp/239.93.55.54:5140?key=txiptv
CCTV17农业农村,http://zqh2333.top:2222/rtp/239.93.24.92:5140?key=txiptv
CCTV5+体育赛事,http://221.226.4.10:85/tsfile/live/0005_1.m3u8?key=txiptv


群聊,http://sport.pendy.dpdns.org/migu/608807419?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
Q：1033713095,http://sport.pendy.dpdns.org/migu/608807416?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA







CCTV风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV世界地理,http://180.213.174.225:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV怀旧剧场,http://180.213.174.225:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云足球,http://180.213.174.225:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV兵器科技,http://180.213.174.225:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV文化精品,http://180.213.174.225:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV女性时尚,http://180.213.174.225:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
