央视节目,#genre#
CCTV13,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv13
CCTV14,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv14
CCTV15,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv15
CCTV16,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv16
CCTV17,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv17

http://dns.yiandrive.com:15907/1905/cctv6

CCTV1,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv1
CCTV2,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv2
CCTV3,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv3
CCTV4,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv4
CCTV5,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv5
CCTV5+,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv5p
CCTV6,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv6
CCTV7,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv7
CCTV8,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv8
CCTV9,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv9
CCTV10,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv10
CCTV11,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv11
CCTV12,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv12
CCTV13,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv13
CCTV14,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv14
CCTV15,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv15
CCTV16,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv16
CCTV17,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv17

CCTV1,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1
CCTV2,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2
CCTV3,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3
CCTV4,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4
CCTV5,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5
CCTV5+,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p
CCTV6,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv6
CCTV7,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv7
CCTV8,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv8
CCTV9,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv9
CCTV10,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv10
CCTV11,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv11
CCTV12,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv12
CCTV13,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv13
CCTV14,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv14
CCTV15,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv15
CCTV16,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv16
CCTV17,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv17

CCTV1,http://kxrj.site:1258/699/mg9.php?id=cctv1
CCTV2,http://kxrj.site:1258/699/mg9.php?id=cctv2
CCTV3,http://kxrj.site:1258/699/mg9.php?id=cctv3
CCTV4,http://kxrj.site:1258/699/mg9.php?id=cctv4
CCTV5,http://kxrj.site:1258/699/mg9.php?id=cctv5
CCTV5+,http://kxrj.site:1258/699/mg9.php?id=cctv5p
CCTV6,http://kxrj.site:1258/699/mg9.php?id=cctv6
CCTV7,http://kxrj.site:1258/699/mg9.php?id=cctv7
CCTV8,http://kxrj.site:1258/699/mg9.php?id=cctv8
CCTV9,http://kxrj.site:1258/699/mg9.php?id=cctv9
CCTV10,http://kxrj.site:1258/699/mg9.php?id=cctv10
CCTV11,http://kxrj.site:1258/699/mg9.php?id=cctv11
CCTV12,http://kxrj.site:1258/699/mg9.php?id=cctv12
CCTV13,http://kxrj.site:1258/699/mg9.php?id=cctv13
CCTV14,http://kxrj.site:1258/699/mg9.php?id=cctv14
CCTV15,http://kxrj.site:1258/699/mg9.php?id=cctv15
CCTV16,http://kxrj.site:1258/699/mg9.php?id=cctv16
CCTV17,http://kxrj.site:1258/699/mg9.php?id=cctv17

CCTV1,http://025365.xyz:18098/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV10,http://025365.xyz:18098/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV11,http://025365.xyz:18098/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV12,http://025365.xyz:18098/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV13,http://025365.xyz:18098/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://025365.xyz:18098/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV15,http://025365.xyz:18098/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV16,http://025365.xyz:18098/ysptp/cctv16.m3u8
CCTV17,http://025365.xyz:18098/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV2,http://025365.xyz:18098/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV3,http://025365.xyz:18098/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://025365.xyz:18098/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4K,http://025365.xyz:18098/ysptp/cctv4k.m3u8
CCTV5+,http://025365.xyz:18098/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV5,http://025365.xyz:18098/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV6,http://025365.xyz:18098/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV7,http://025365.xyz:18098/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV8,http://025365.xyz:18098/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://025365.xyz:18098/itv/6000000001000032162.m3u8?cdn=wasusyt

CCTV1,http://182.92.109.190:1668/72/72.php?id=cctv1
CCTV2,http://182.92.109.190:1668/72/72.php?id=cctv2
CCTV3,http://182.92.109.190:1668/72/72.php?id=cctv3
CCTV4,http://182.92.109.190:1668/72/72.php?id=cctv4
CCTV5,http://182.92.109.190:1668/72/72.php?id=cctv5
CCTV5+,http://182.92.109.190:1668/72/72.php?id=cctv5p
CCTV6,http://182.92.109.190:1668/72/72.php?id=cctv6
CCTV7,http://182.92.109.190:1668/72/72.php?id=cctv7
CCTV8,http://182.92.109.190:1668/72/72.php?id=cctv8
CCTV9,http://182.92.109.190:1668/72/72.php?id=cctv9
CCTV10,http://182.92.109.190:1668/72/72.php?id=cctv10
CCTV11,http://182.92.109.190:1668/72/72.php?id=cctv11
CCTV12,http://182.92.109.190:1668/72/72.php?id=cctv12
CCTV13,http://182.92.109.190:1668/72/72.php?id=cctv13
CCTV14,http://182.92.109.190:1668/72/72.php?id=cctv14
CCTV15,http://182.92.109.190:1668/72/72.php?id=cctv15
CCTV16,http://182.92.109.190:1668/72/72.php?id=cctv16
CCTV17,http://182.92.109.190:1668/72/72.php?id=cctv17

CCTV13,http://hls.hsrtv.cn/live/hsyouxian.m3u8
CCTV4,http://107.148.130.31:15826/tw/mk592.php?id=67


CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV1,http://113.57.111.4:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV10,http://113.57.111.4:1111/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV11,http://113.57.111.4:1111/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV12,http://113.57.111.4:1111/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV13,http://113.57.111.4:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV14,http://113.57.111.4:1111/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV15,http://113.57.111.4:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV17,http://113.57.111.4:1111/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV2,http://113.57.111.4:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV3,http://113.57.111.4:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV4,http://113.57.111.4:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV5,http://113.57.111.4:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV6,http://113.57.111.4:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV7,http://113.57.111.4:1111/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV8,http://113.57.111.4:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV9,http://113.57.111.4:1111/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北联通酒店
CCTV1,http://124.228.161.8:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV2,http://124.228.161.8:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV3,http://124.228.161.8:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV4,http://124.228.161.8:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV5,http://124.228.161.8:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV6,http://124.228.161.8:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV7,http://124.228.161.8:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV8,http://124.228.161.8:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV9,http://124.228.161.8:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV10,http://124.228.161.8:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV11,http://124.228.161.8:9901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV12,http://124.228.161.8:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV13,http://124.228.161.8:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV14,http://124.228.161.8:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV15,http://124.228.161.8:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
CCTV5+,http://124.228.161.8:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店

CCTV1,http://120.7.85.139:8088/hls/1/index.m3u8$河北联通酒店
CCTV10,http://120.7.85.139:8088/hls/10/index.m3u8$河北联通酒店
CCTV11,http://120.7.85.139:8088/hls/11/index.m3u8$河北联通酒店
CCTV12,http://120.7.85.139:8088/hls/12/index.m3u8$河北联通酒店
CCTV13,http://120.7.85.139:8088/hls/13/index.m3u8$河北联通酒店
CCTV14,http://120.7.85.139:8088/hls/14/index.m3u8$河北联通酒店
CCTV15,http://120.7.85.139:8088/hls/15/index.m3u8$河北联通酒店
CCTV2,http://120.7.85.139:8088/hls/2/index.m3u8$河北联通酒店
CCTV3,http://120.7.85.139:8088/hls/3/index.m3u8$河北联通酒店
CCTV4,http://120.7.85.139:8088/hls/4/index.m3u8$河北联通酒店
CCTV5+,http://120.7.85.139:8088/hls/17/index.m3u8$河北联通酒店
CCTV5,http://120.7.85.139:8088/hls/5/index.m3u8$河北联通酒店
CCTV6,http://120.7.85.139:8088/hls/6/index.m3u8$河北联通酒店
CCTV7,http://120.7.85.139:8088/hls/7/index.m3u8$河北联通酒店
CCTV8,http://120.7.85.139:8088/hls/8/index.m3u8$河北联通酒店
CCTV9,http://120.7.85.139:8088/hls/9/index.m3u8$河北联通酒店
CCTV1,http://123.163.114.115:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV10,http://123.163.114.115:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV11,http://123.163.114.115:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV12,http://123.163.114.115:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV13,http://123.163.114.115:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV14,http://123.163.114.115:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV15,http://123.163.114.115:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV2,http://123.163.114.115:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV3,http://123.163.114.115:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV4,http://123.163.114.115:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV5,http://123.163.114.115:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV6,http://123.163.114.115:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV7,http://123.163.114.115:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV8,http://123.163.114.115:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV9,http://123.163.114.115:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV1,http://123.161.39.128:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV10,http://123.161.39.128:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV11,http://123.161.39.128:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV12,http://123.161.39.128:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV13,http://123.161.39.128:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV14,http://123.161.39.128:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV15,http://123.161.39.128:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV2,http://123.161.39.128:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV3,http://123.161.39.128:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV4,http://123.161.39.128:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV5,http://123.161.39.128:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV6,http://123.161.39.128:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV7,http://123.161.39.128:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV8,http://123.161.39.128:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV9,http://123.161.39.128:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$河南电信酒店
CCTV1,http://221.199.193.106:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV10,http://221.199.193.106:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV11,http://221.199.193.106:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV12,http://221.199.193.106:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV13,http://221.199.193.106:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV14,http://221.199.193.106:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV15,http://221.199.193.106:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV2,http://221.199.193.106:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV3,http://221.199.193.106:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV4,http://221.199.193.106:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV5+,http://221.199.193.106:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV5,http://221.199.193.106:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV6,http://221.199.193.106:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV7,http://221.199.193.106:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV8,http://221.199.193.106:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV9,http://221.199.193.106:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV1,http://221.199.193.157:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV10,http://221.199.193.157:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV11,http://221.199.193.157:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV12,http://221.199.193.157:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV13,http://221.199.193.157:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV14,http://221.199.193.157:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV15,http://221.199.193.157:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV2,http://221.199.193.157:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV3,http://221.199.193.157:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV4,http://221.199.193.157:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV5+,http://221.199.193.157:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV5,http://221.199.193.157:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV6,http://221.199.193.157:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV7,http://221.199.193.157:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV8,http://221.199.193.157:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV9,http://221.199.193.157:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$内蒙古联通酒店
CCTV1,http://220.170.241.204:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南电信酒店
