央卫--iTV, #genre#
CCTV-09_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16_ITV, http://mg.20191209.xyz:58888/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265015.m3u8?cdn=ystenlive
北京卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视_ITV, http://mg.20191209.xyz:58888/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视_ITV, http://mg.20191209.xyz:58888/itv/1000000001000001925.m3u8?cdn=ystenlive
CCTV-01_ITV, http://18.136.200.140:35455/gaoma/cctv1.m3u8
CCTV-02_ITV, http://18.136.200.140:35455/gaoma/cctv2.m3u8
CCTV-03_ITV, http://18.136.200.140:35455/gaoma/cctv3.m3u8
CCTV-04_ITV, http://18.136.200.140:35455/gaoma/cctv4.m3u8
CCTV-05_ITV, http://18.136.200.140:35455/gaoma/cctv5.m3u8
CCTV-5+_ITV, http://18.136.200.140:35455/gaoma/cctv5p.m3u8
CCTV-06_ITV, http://18.136.200.140:35455/gaoma/cctv6.m3u8
CCTV-07_ITV, http://18.136.200.140:35455/gaoma/cctv7.m3u8
CCTV-08_ITV, http://18.136.200.140:35455/gaoma/cctv8.m3u8
CCTV-09_ITV, http://18.136.200.140:35455/gaoma/cctv9.m3u8
CCTV-10_ITV, http://18.136.200.140:35455/gaoma/cctv10.m3u8
CCTV-11_ITV, http://18.136.200.140:35455/gaoma/cctv11.m3u8
CCTV-12_ITV, http://18.136.200.140:35455/gaoma/cctv12.m3u8
CCTV-13_ITV, http://18.136.200.140:35455/gaoma/cctv13.m3u8
CCTV-14_ITV, http://18.136.200.140:35455/gaoma/cctv14.m3u8
CCTV-15_ITV, http://18.136.200.140:35455/gaoma/cctv15.m3u8
CCTV-16_ITV, http://18.136.200.140:35455/gaoma/cctv16.m3u8
CCTV-17_ITV, http://18.136.200.140:35455/gaoma/cctv17.m3u8
CCTV-4k_ITV, http://18.136.200.140:35455/gaoma/cctv4k.m3u8
CCTV-8k_ITV, http://18.136.200.140:35455/gaoma/cctv8k_36m.m3u8
CCTV-01_ITV, http://18.136.200.140:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-02_ITV, http://18.136.200.140:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-03_ITV, http://18.136.200.140:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-04_ITV, http://18.136.200.140:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-05_ITV, http://18.136.200.140:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+_ITV, http://18.136.200.140:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-06_ITV, http://18.136.200.140:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-07_ITV, http://18.136.200.140:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-08_ITV, http://18.136.200.140:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-09_ITV, http://18.136.200.140:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10_ITV, http://18.136.200.140:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11_ITV, http://18.136.200.140:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12_ITV, http://18.136.200.140:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14_ITV, http://18.136.200.140:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15_ITV, http://18.136.200.140:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16_ITV, http://18.136.200.140:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17_ITV, http://18.136.200.140:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
北京卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视_ITV, http://18.136.200.140:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视_ITV, http://18.136.200.140:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视_ITV, http://18.136.200.140:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
CCTV-01_ITV, http://119.8.31.109:35455/gaoma/cctv1.m3u8
CCTV-02_ITV, http://119.8.31.109:35455/gaoma/cctv2.m3u8
CCTV-03_ITV, http://119.8.31.109:35455/gaoma/cctv3.m3u8
CCTV-04_ITV, http://119.8.31.109:35455/gaoma/cctv4.m3u8
CCTV-05_ITV, http://119.8.31.109:35455/gaoma/cctv5.m3u8
CCTV-5+_ITV, http://119.8.31.109:35455/gaoma/cctv5p.m3u8
CCTV-06_ITV, http://119.8.31.109:35455/gaoma/cctv6.m3u8
CCTV-07_ITV, http://119.8.31.109:35455/gaoma/cctv7.m3u8
CCTV-08_ITV, http://119.8.31.109:35455/gaoma/cctv8.m3u8
CCTV-09_ITV, http://119.8.31.109:35455/gaoma/cctv9.m3u8
CCTV-10_ITV, http://119.8.31.109:35455/gaoma/cctv10.m3u8
CCTV-11_ITV, http://119.8.31.109:35455/gaoma/cctv11.m3u8
CCTV-12_ITV, http://119.8.31.109:35455/gaoma/cctv12.m3u8
CCTV-13_ITV, http://119.8.31.109:35455/gaoma/cctv13.m3u8
CCTV-14_ITV, http://119.8.31.109:35455/gaoma/cctv14.m3u8
CCTV-15_ITV, http://119.8.31.109:35455/gaoma/cctv15.m3u8
CCTV-16_ITV, http://119.8.31.109:35455/gaoma/cctv16.m3u8
CCTV-17_ITV, http://119.8.31.109:35455/gaoma/cctv17.m3u8
CCTV-4k_ITV, http://119.8.31.109:35455/gaoma/cctv4k.m3u8
CCTV-8k_ITV, http://119.8.31.109:35455/gaoma/cctv8k_36m.m3u8
CCTV-01_ITV, http://119.8.31.109:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-02_ITV, http://119.8.31.109:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-03_ITV, http://119.8.31.109:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-04_ITV, http://119.8.31.109:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-05_ITV, http://119.8.31.109:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+_ITV, http://119.8.31.109:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-06_ITV, http://119.8.31.109:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-07_ITV, http://119.8.31.109:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-08_ITV, http://119.8.31.109:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-09_ITV, http://119.8.31.109:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10_ITV, http://119.8.31.109:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11_ITV, http://119.8.31.109:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12_ITV, http://119.8.31.109:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14_ITV, http://119.8.31.109:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15_ITV, http://119.8.31.109:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16_ITV, http://119.8.31.109:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17_ITV, http://119.8.31.109:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
北京卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视_ITV, http://119.8.31.109:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视_ITV, http://119.8.31.109:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视_ITV, http://119.8.31.109:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
CCTV-01_ITV, http://49.74.145.161:35455/gaoma/cctv1.m3u8
CCTV-02_ITV, http://49.74.145.161:35455/gaoma/cctv2.m3u8
CCTV-03_ITV, http://49.74.145.161:35455/gaoma/cctv3.m3u8
CCTV-04_ITV, http://49.74.145.161:35455/gaoma/cctv4.m3u8
CCTV-05_ITV, http://49.74.145.161:35455/gaoma/cctv5.m3u8
CCTV-5+_ITV, http://49.74.145.161:35455/gaoma/cctv5p.m3u8
CCTV-06_ITV, http://49.74.145.161:35455/gaoma/cctv6.m3u8
CCTV-07_ITV, http://49.74.145.161:35455/gaoma/cctv7.m3u8
CCTV-08_ITV, http://49.74.145.161:35455/gaoma/cctv8.m3u8
CCTV-09_ITV, http://49.74.145.161:35455/gaoma/cctv9.m3u8
CCTV-10_ITV, http://49.74.145.161:35455/gaoma/cctv10.m3u8
CCTV-11_ITV, http://49.74.145.161:35455/gaoma/cctv11.m3u8
CCTV-12_ITV, http://49.74.145.161:35455/gaoma/cctv12.m3u8
CCTV-13_ITV, http://49.74.145.161:35455/gaoma/cctv13.m3u8
CCTV-14_ITV, http://49.74.145.161:35455/gaoma/cctv14.m3u8
CCTV-15_ITV, http://49.74.145.161:35455/gaoma/cctv15.m3u8
CCTV-16_ITV, http://49.74.145.161:35455/gaoma/cctv16.m3u8
CCTV-17_ITV, http://49.74.145.161:35455/gaoma/cctv17.m3u8
CCTV-4k_ITV, http://49.74.145.161:35455/gaoma/cctv4k.m3u8
CCTV-8k_ITV, http://49.74.145.161:35455/gaoma/cctv8k_36m.m3u8
CCTV-01_ITV, http://49.74.145.161:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-02_ITV, http://49.74.145.161:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-03_ITV, http://49.74.145.161:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-04_ITV, http://49.74.145.161:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-05_ITV, http://49.74.145.161:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+_ITV, http://49.74.145.161:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-06_ITV, http://49.74.145.161:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-07_ITV, http://49.74.145.161:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-08_ITV, http://49.74.145.161:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-09_ITV, http://49.74.145.161:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10_ITV, http://49.74.145.161:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11_ITV, http://49.74.145.161:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12_ITV, http://49.74.145.161:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14_ITV, http://49.74.145.161:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15_ITV, http://49.74.145.161:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16_ITV, http://49.74.145.161:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17_ITV, http://49.74.145.161:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
北京卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视_ITV, http://49.74.145.161:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视_ITV, http://49.74.145.161:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视_ITV, http://49.74.145.161:35455/itv/1000000001000001925.m3u8?cdn=ystenlive


央视ipv4,#genre#
CCTV-1综合,http://27.20.238.123:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1综合,http://27.20.238.123:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1综合,http://27.20.238.123:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2财经,http://27.20.238.123:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2财经,http://27.20.238.123:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2财经,http://27.20.238.123:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3综艺,http://27.20.238.123:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3综艺,http://27.20.238.123:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4中文国际,http://27.20.238.123:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4中文国际,http://27.20.238.123:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5体育,http://27.20.238.123:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5体育,http://27.20.238.123:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+体育赛事,http://27.20.238.123:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+体育赛事,http://27.20.238.123:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6电影,http://27.20.238.123:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6电影,http://27.20.238.123:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV-6电影,http://27.20.238.123:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7国防军事,http://27.20.238.123:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV-7国防军事,http://27.20.238.123:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV-7国防军事,http://27.20.238.123:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8电视剧,http://27.20.238.123:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8电视剧,http://27.20.238.123:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9纪录,http://27.20.238.123:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV-9纪录,http://27.20.238.123:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV-9纪录,http://27.20.238.123:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10科教,http://27.20.238.123:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV-10科教,http://27.20.238.123:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV-10科教,http://27.20.238.123:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11戏曲,http://27.20.238.123:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV-11戏曲,http://27.20.238.123:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12社会与法,http://27.20.238.123:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12社会与法,http://27.20.238.123:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12社会与法,http://27.20.238.123:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-13新闻,http://27.20.238.123:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV-14少儿,http://27.20.238.123:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-14少儿,http://27.20.238.123:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV-14少儿,http://27.20.238.123:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15音乐,http://27.20.238.123:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV-15音乐,http://27.20.238.123:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16奥林匹克,http://27.20.238.123:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16奥林匹克,http://27.20.238.123:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-17农业农村,http://27.20.238.123:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17农业农村,http://27.20.238.123:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

卫视,#genre#
广东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/gdws-hd/2500.m3u8?innersid=2310031483208039305$订阅源-1920x1080
湖南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hnws-hd/2500.m3u8?innersid=11355377224826061225$订阅源-1920x1080
北京卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/bjws-hd/1.m3u8?innersid=18360129623627541611$订阅源-1920x1080
黑龙江卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/hljws-hd/2500.m3u8?innersid=3559146512286674480$订阅源-1920x1080
东方卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/shdfws-hd/2500.m3u8?innersid=6998114529464369318$订阅源-1920x1080
东南卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/fjws-hd/2500.m3u8?innersid=10943554111088989087$订阅源-1920x1080
吉林卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jxws-hd/2500.m3u8?innersid=14570431181364255736$订阅源-1920x1080
江苏卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/jsws-hd/2500.m3u8?innersid=14912719076157451667$订阅源-1920x1080
辽宁卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/lnws-hd/2500.m3u8?innersid=6324592032119595697$订阅源-1920x1080
山东卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/sdws-hd/2500.m3u8?innersid=3721212644869031100$订阅源-1920x1080
四川卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/scws-hd/2500.m3u8?innersid=17534924581903335933$订阅源-1920x1080
深圳卫视,http://cc-ynbit-wszhibo.ifengli.com:2000/live/szws-hd/2500.m3u8?innersid=15000776628606995758$订阅源-1920x1080
北京卫视,http://27.20.238.123:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://27.20.238.123:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
安徽卫视,http://27.20.238.123:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://27.20.238.123:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://27.20.238.123:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://27.20.238.123:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://27.20.238.123:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://27.20.238.123:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://27.20.238.123:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://27.20.238.123:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://27.20.238.123:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://27.20.238.123:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://27.20.238.123:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://27.20.238.123:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://27.20.238.123:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://27.20.238.123:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://27.20.238.123:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://27.20.238.123:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://27.20.238.123:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
