央视频道,#genre#
CCTV17,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EEkwQnoHNXRDb-IayWakK1A%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7HR8OMfw8B_E228iTrbEqZt%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192559%2C%2C%2C20240420192559%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2$北京移动可回放#http://bxny.667789.cn:88/hls/17/index.m3u8$哈尔滨电信酒店
CCTV5+,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EevWZ0zmguDsOY_Mf3SM5TA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$北京移动可回放#http://[2409:8087:5e08:24::5]:6610/000000001000/5350361928876847638/1.m3u8?Contentid=5350361928876847638&livemode=1&stbId=3&channel-id=hnbblive
CCTV16-4K,http://[2409:8087:5e20:24::d]:6610/000000001000/0/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=ace$海南移动IPv6#http://223.105.252.60/PLTV/4/224/3221228320/index.m3u8?servicetype=1$江苏移动IPv4#http://lishiwan.xicp.net:8563/udp/239.255.36.142:8231$甘肃联通#http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024083703.m3u8$央视频1080P#http://117.161.12.116/live/program/live/cctv16hd4k/15000000/mnf.m3u8$百视通源#http://www.lebaobei.top:6868/udp/239.255.30.80:8231$甘肃电信#http://183.48.243.198:5050/udp/239.77.1.98:5146$广东电信#http://www.hn-valve.cn:8888/udp/239.76.246.230:1234$湖南电信
CCTV娱乐,http://extraott.com/live/6772191932/1654508883/62832.m3u8
CCTV戏曲,http://co-sg3.jdiptv.cc/live/cctvxq.m3u8
CCTV娱乐,http://171.38.65.171:8181/tsfile/live/1067_1.m3u8$广西玉林联通酒店#http://110.72.76.106:8181/tsfile/live/1092_1.m3u8$广西贵港联通酒店
CCTV戏曲,http://221.7.239.115:8181/tsfile/live/1068_1.m3u8$广西贵港联通酒店
CCTV4（美洲）,http://112.15.228.196/PLTV/88888888/224/3221231654/index.m3u8$浙江移动IPv4#https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1$咪咕代理源
CCTV4（欧洲）,https://www.freetv.top/migu/608807419.m3u8?migutoken=77b074e1b49cf260629d9642f9505e978eaabf572bfa1abe5f2e3ef60f5e4929c900274758111d707a7cca2a7368eb2b1af1415da7e0b2dbfcbdbeb4cb8566210f2994ffde97ad1e11a037a174$咪咕代理源
CCTV4（美洲）,https://tvpull.careryun.com/tv/cctv4m.m3u8$标清
CCTV4（欧洲）,https://tvpull.careryun.com/tv/cctv4o.m3u8$标清
CCTV4（美洲）,http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.214:4220$北京联通#http://183.48.243.198:5050/udp/239.253.43.121:5146$广东电信
CCTV4（欧洲）,http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.213:4220$北京联通
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1$江苏移动IPv4#http://13.251.121.250:35455/gaoma/cctv4k.m3u8$高码菁彩声源#http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024081303.m3u8$央视频1080P#http://110.40.39.111:2025/live/shyd_gitv/G_CCTV-4K-HD.m3u8$GITV源#http://113.138.130.242:8001/rtp/239.111.205.38:5140$陕西电信#http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.245:2000$北京联通#http://cu.wolf00.com:8888/udp/239.254.200.122:7266$河北电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=guangxi-dx&id=239.81.1.78:4056&apiKey=73c963d13814ce7d0e4743c5e7d033cc$广西电信#http://183.48.243.198:5050/udp/239.77.0.174:5146$广东电信#http://enlen.vip:4022/udp/239.200.200.202:8784$云南电信#http://www.furymax.top:85/udp/239.69.1.111:10304$湖北电信#http://dev.wugeng.cc:8686/udp/239.76.246.214:1234$湖南电信#http://diyp.uk.to/zb/1725695663.php?id=cctv4k$重庆有线（暂时失效）
CCTV8K,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1$江苏移动IPv4#http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8$央视频1080P#https://tv.cry33.com/ys4k.php?id=8k$php代理源#http://[2409:8087:2001:20:2800:0:df6e:eb02]/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3$已失效#http://[2409:8087:2001:20:2800:0:df6e:eb02]/PLTV/1/224/3221230960/1.m3u8#http://[2409:8087:2001:20:2800:0:df6e:eb02]/PLTV/1/224/3221230960/1.m3u8
CCTV中视购物,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000144.m3u8#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zsgw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://vapi.91kds.cc/live1/polyv.m3u8?id=zsgw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn源#http://113.138.130.242:8001/udp/239.111.205.96:5140$陕西电信#http://home.yulei.online:9999/udp/226.0.2.72:8488$山西联通#http://180.173.49.183:8888/udp/239.45.3.79:5140$上海电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=tianjin-lt&id=225.1.2.85:5002&apiKey=73c963d13814ce7d0e4743c5e7d033cc$天津联通#http://218.86.153.29:9007/rtp/238.255.2.44:5999$贵州电信
CCTV世界地理,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=sjdl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV世界地理,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172003.m3u8$央视频1080P
CCTV兵器科技,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=gfjs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV兵器科技,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172103.m3u8$央视频1080P
CCTV第一剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dyjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV第一剧场,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171803.m3u8$央视频1080P
CCTV怀旧剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=hjjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV怀旧剧场,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171903.m3u8$央视频1080P
CCTV风云剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云剧场,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171703.m3u8$央视频1080P
CCTV风云音乐,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyyy&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云音乐,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024163303.m3u8$央视频1080P
CCTV风云足球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyzq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云足球,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8$央视频1080P
CCTV央视文化精品,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=ysjp&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV央视文化精品,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172303.m3u8$央视频1080P
CCTV高尔夫·网球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=gefwq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV高尔夫·网球,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024166203.m3u8$央视频1080P
CCTV央视台球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=ystq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV央视台球,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172403.m3u8$央视频1080P
CCTV央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQIxzzxEhTjOtZryLHMXreoGIhhbZzYqwcgjvvRZLVRTRUXFxC%2BlDuTkdKHPnzcR1DomGVyhFGbQRmDDrX7x%2FDZL0#http://hy.baojihzjc.com:9001/udp/239.111.205.70:5140$陕西电信#http://dp.sxtv.top:88/md/cqyx.php?id=ystq$重庆有线
CCTV电视指南,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dszn&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV电视指南,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172503.m3u8$央视频1080P#http://120.76.248.139/live/bfgd/4200000164.m3u8#http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226717/index.m3u8#http://103.1.169.57/sx.v.smtcdns.net/123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/116/2012514003.m3u8#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012514003.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://bkpcp.ddns.net:8000/ysp.php?id=dszn
CCTV女性时尚,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=nxss&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV女性时尚,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172203.m3u8$央视频1080P
CCTV卫生健康,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000102.m3u8$标清#http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024165203.m3u8$央视频1080P#https://www.sxtv.top/cctv.php?id=wsjk#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513503.m3u8#http://bkpcp.ddns.net:8000/ysp.php?id=wsjk#http://ygbh.live/ysp.php?id=wsjk
CCTV卫生健康,http://183.48.243.198:5050/udp/239.77.0.212:5146$广东电信#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=wsjk&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
中央新影-中学生,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000069.m3u8
中央新影-老故事,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000038.m3u8
中央新影-发现之旅,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000037.m3u8
中央新影-中学生,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zxs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://enlen.vip:4022/udp/239.200.200.136:8060$云南电信#http://pwd.unnas.top:4000/udp/239.253.92.27:6106$河北联通#http://pwd.unnas.top:4000/udp/239.253.92.27:6106$河北联通
中央新影-老故事,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=lgs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://60.6.111.113:808/hls/81/index.m3u8$河北邢台联通酒店#http://pwd.unnas.top:4000/udp/239.253.92.132:8068
中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8$北方广电#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fxzl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://enlen.vip:4022/udp/239.200.201.164:8128$云南电信#http://dp.sxtv.top:88/md/cqyx.php?id=fxzl$重庆有线#http://pwd.unnas.top:4000/udp/239.253.94.30:6629#http://113.9.161.254:88/hls/28/index.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000001314/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
央广购物,https://newapplive.cnrmall.com/live/cnrxp_HD1200.m3u8$官方源#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=yggw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
购物（多平台）,http://[2409:8087:1a0a:df::4036]/wh7f454c46tw2542311669_1643720601/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226091/index.m3u8?icpid=88888888&RTS=1710670836&from=4&hms_devid=1209&vqe=3
CCTV+,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CGTN,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eb26wc0XXKkqPiVtXlNQMiQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CGTN纪录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227006/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EYcJ3PdHkzUJtmPevi5x_2A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CGTN西班牙语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227030/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWR3JI0iklU2klIzSzhH6nA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CGTN法语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227034/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnmNWt4gIKrkCWjuWofLapQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CGTN阿拉伯语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227023/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EsOnjStoSIBiRDXRm4N42Zw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CGTN俄语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227038/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnNP_kmf5g3OZQXDWZHNpOA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CGTN,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvnews&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN纪录,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctv9y&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN西班牙语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctve&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN法语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvf&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN阿拉伯语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctva&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN俄语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvr&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024181703.m3u8$央视频1080P 
CGTN纪录,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024182303.m3u8$央视频1080P 
CGTN西班牙语,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024182103.m3u8$央视频1080P 
CGTN法语,http://103.1.169.56/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024181803.m3u8$央视频1080P 
