鍜挄澶崼,#genre#
CCTV12,https://mursor.ottiptv.cc/migu/673168185.m3u8?migutoken=306e08c911c151711966a00311489f94355017a0e4e4b0d0bf5e32e9d4ffb71f30e867c0c6808cd7d207c8d1588bc30ef492045f03eae13e78d166071c1fc652e76d1e28e1b779a82a3147433e
CCTV13,https://mursor.ottiptv.cc/migu/608807423.m3u8?migutoken=fe39dbc56e6fbfbdeb9039bfc8a96bf2bd04850d8a4836622381ac5ef91d2f1978ee73b380232a9b011e52aaeb3d9eced0330e99612cc372fcd003330a839d679cce84399158673a31342491f6
CCTV14,https://mursor.ottiptv.cc/migu/624878440.m3u8?migutoken=0356a1ff0c3f495b2e71105006f3fdb0bcf2b52a562aae221e6bd338708ff816638ea1a73803477f2966672b6a5b046131d01110468cd5b7b76c5b91b5617b6a535cf8d835920171c441995f18
CCTV15,https://mursor.ottiptv.cc/migu/673168223.m3u8?migutoken=35d71b0a267ff17ea0d5b976e59744fe80035ae654e9e0b2d1d7e7cf44731cc3da70fac533282c2268419f7a54560cffb4853c321373f79efe0a4995bd0045a70401671160d09eacc8007e4a97
CCTV17,https://mursor.ottiptv.cc/migu/673168256.m3u8?migutoken=b0812e136caf6815e3bcd489c48c9faa674010b6b0e0fb4b6b82781e65e45ac90862a1a0e0c5fbe325e7a75767c69f493ac364506adef806eb9727bc7c844f67d101c044903dbc76c51b79154e
CCTV4娆ф床,https://mursor.ottiptv.cc/migu/608807419.m3u8?migutoken=e530c6cb016382749d3e9e68478f2c9e4691b0baad1b01bd2522f7e3adc02d4824325de977dcdf7f4ec0dc977ada5ff2196da1f4ae6f60213b9b178cfd060a06741817a0417d3e27837e964020
CCTV4缇庢床,https://mursor.ottiptv.cc/migu/608807416.m3u8?migutoken=0c95d8fca193a77f3bb22f80b3ea126d05f61f3036c3e207807761c9b0e69b676d28cfcb35de8a3e281bae5ea9af0d8470e873ed76302a88284e30dd84c2893f292b37019bd1ea0b04e50ea522
CGTN澶栬绾綍,https://mursor.ottiptv.cc/migu/609006487.m3u8?migutoken=b1dc141918c2a5bf0169ed854e3d314c9fed88542dd702c1ee0bf9dd761ebe53c76455a19d2dcd46c9b05154b810fdbe6e3f1d853ff78f24ebeaf625610e803bb183f1ccf14a3e5d69653aa657
CGTN闃挎媺浼,https://mursor.ottiptv.cc/migu/609154345.m3u8?migutoken=5f205b1966801574da11d85a7fa5ef77496be22d406b2a4cd8771d2169b30d2f1c4c85906e4dc222765a3ab8a3cc6007ea7d1fc3199121460854c6ff9a737a5ba14bc236ee206bf016b1abdf07
CGTN瑗跨彮鐗欒,https://mursor.ottiptv.cc/migu/609006450.m3u8?migutoken=9112df5be2650e7c47cb487426bd361f2220f369ef2ef363fd6a8c4c61340f38da864fe3db85eeea4e2f719463537dc73269e7f0f45886c14e5ada84cf80095a7c43270a51f92a5ebcb063813c
CGTN娉曡,https://mursor.ottiptv.cc/migu/609006476.m3u8?migutoken=795d15a2934ef1b202d4a5b7cfeac942861464a7dafe5e7e6edf50af1c9a53a4f9bf55294a25c0c293694dab0946975caf9b026c81f6024f8cde5471772b16b2f0d365b34e699747b060daac61
CGTN淇勮,https://mursor.ottiptv.cc/migu/609006446.m3u8?migutoken=d8aa6f28140c84abd1f017e76612d78c201f6e36d174cf614ae15acea79f477a88fb41888ce8e17e63dc438e4920987d46e8231bc00540940b14d8c3082fafd9d81359cff35f3d98988d63ddb7
鑰佹晠浜�,https://mursor.ottiptv.cc/migu/884121956.m3u8?migutoken=e807f1332ae96dcfbcad4a0564d36a5101a5343237f073f420c412fd99403f918a7d8b2e8fea74a73a6e365658a008a884d46a38a8391571e2a7c11f9ebe17545570903e485ae60919c4a9a563
鍙戠幇涔嬫梾,https://mursor.ottiptv.cc/migu/624878970.m3u8?migutoken=c2a2d7c8cf3791dab763008b26bf1bc152440a342567459538985ec4cf0d127a7bf2a486461fa26754cb88047c2b12086430c36ea33efec11d4aad469993c63db75626a1bcebe79ca5041ba487
涓鐢�,https://mursor.ottiptv.cc/migu/708869532.m3u8?migutoken=a6756e0cdebd8e6c095bf6bb348714d33e67ab3eb4f022cfbada3be25c61e0dc58e414ef72316f52bc1e704f05f37cafd37c6a1d5137aa413d7df466bc8def5d741001e58f28c2a4be779a875d
CGTN,https://mursor.ottiptv.cc/migu/609017205.m3u8?migutoken=110276cfc31935e5190717f4cb6ed3aa5ef33228f8e7392a18e4b47b661ccee3d0ebbee986e414c65e9b9f06e4e54aae38ce8be57f4b7726b8ddade1a2dc8e648acb9f0b7b84908c5710a40c53

涓滄柟鍗,https://mursor.ottiptv.cc/migu/651632648.m3u8?migutoken=6cb380be6de5fb4268ff42b1f33d7fe1b6878e901ebf5a5a2e7e980e4540c08a3e0d8c164682d68a45c419996724a4b8c1421ad2da727d9ae1ce4c72a79df0330f1486912c44fd3d1b51f75747
姹熻嫃鍗,https://mursor.ottiptv.cc/migu/623899368.m3u8?migutoken=bf433944aa232ce13a3dca8df4ead484441fbaa491413e2ce764188453121cb46f23eeb640a5e2cdeecd95413ad0e3330d68810f08f9255583bc4fcd90e50986999409986661e01be981af2cfc
骞夸笢鍗,https://mursor.ottiptv.cc/migu/608831231.m3u8?migutoken=c209c65d9dc5c801d92ea152c2b8aeed654cd5e65939a44227bf7eb0f7c77ae3d16d838b2cd97e09505ffc5178e536f3e8976a376e4ebab2808bcb81dc6e722430c5a5c9861b098551f794be64
姹熻タ鍗,https://mursor.ottiptv.cc/migu/783847495.m3u8?migutoken=4d24de466ba4e99ca168bf2cd91a8729d17d247d23b19da0df24e55c31a266f69643e9f1c3f5cf5d0748c44aceeeea241260b771b4924efc2052c3324fc0b949e8ffe22193dcf267388cfe26ee
娌冲崡鍗,https://mursor.ottiptv.cc/migu/790187291.m3u8?migutoken=83c05a708f4341c69d69c15cc1656030039c884cef027ed7daaa9ce803d5640cb6399704c3d87179204f92d2ad02aed7b6ca13d7d026ec2305d6c547b621c947876e03d2a76844fa93508e3233
闄曡タ鍗,https://mursor.ottiptv.cc/migu/738910838.m3u8?migutoken=229d3c2e1fc7e8b67679b7c31211f7a448bb28514bd412c345428b812f7717cb513297895a7a8304d2269c49accd49a986df0b8e788c0900c333504feddafadc109f1dd6c613dbcbe84424ae30
澶ф咕鍖哄崼瑙�,https://mursor.ottiptv.cc/migu/608917627.m3u8?migutoken=d5158d48e57b233044fd02259ee050d399579b86020215e87ea57d0dd73f66d484d5c2638e03d038d3cf7c362a86268bf87325b980b121ef4e355648c65768ab2b9368e597782f2361f4027f38
婀栧寳鍗,https://mursor.ottiptv.cc/migu/947472496.m3u8?migutoken=546595eb11222433b9fae9f40f54d47223977d72043b24fedf39764d36a8807d4c48971ef8e9222aa76bc1f29e43fd6c659b23d1844b065622bdbafeacdb632259164fd08fe3da578a577d5c51
鍚夋灄鍗,https://mursor.ottiptv.cc/migu/947472500.m3u8?migutoken=c5020c1aa7c098893dac106458fca7f451a894ae7e3e7b57825723db4d2fb6932245f7d564527a249a218e3b478766910c9478acd29db10a2e6c6f564c32e65c956b0fa0202bbd3cbfb0ebcaea
闈掓捣鍗,https://mursor.ottiptv.cc/migu/947472506.m3u8?migutoken=1129eca7d6040104cc70a1aea7de9c7c1a8ebc3e21bd3f88e65c90653325b31009a653e09a22530a98b04c0ad49710039211cfd121bfbafa93236612c44ef5e768675e681a93b64d44dea20d18
涓滃崡鍗,https://mursor.ottiptv.cc/migu/849116810.m3u8?migutoken=cc3e918e23b243c05398fd6eef7120f94afaacee71e0d2ec8746fba8c490989f800829d95d36398cca4631512d1a1b38763e6ce1591d6aecc50723287e12cd1b9b7d677f9c7ebed66ec88db2c4
娴峰崡鍗,https://mursor.ottiptv.cc/migu/947472502.m3u8?migutoken=4d81388d0fe9aca53fd70f8a4eb708a6410b727ba11bb2395600c7fa167563752b24cb02d2b8e445f76f7987201734bf30fb79776a15042b250d0bb5f1820a1602f904e74d6f248ef796de35dd
娴峰场鍗,https://mursor.ottiptv.cc/migu/849119120.m3u8?migutoken=9099ba9289f58bbfb889694935c1437a3c47e89c14a78f67b1a0da50b468f600b757117a0c28c79d1aa1b6c54901dee00eedc044678620f736f30dd0e70ca0069f265d709ba2a57187b29a1ede

CETV1,https://mursor.ottiptv.cc/migu/923287154.m3u8?migutoken=14611ae3ddf052295e5a82f91d7e814dd1fb1beb2950979c777e42ff0d9bd9424f04111a7063d8cb0aa0cda1afa19309934891950846618920edc6b2bd44c6055689d299b03f92d2fa22431052
CETV2,https://mursor.ottiptv.cc/migu/923287211.m3u8?migutoken=02cdb22ba58acf4756d8d529de8f0a431a2ced596e819b06aef6ab0d77b7f7d9d510f69474c3ee22fb72dc28df64055c59c744bd18934fc11ce74784e23d2dbaf24fd40ebfc6408c5f4d3f2376
CETV4,https://mursor.ottiptv.cc/migu/923287339.m3u8?migutoken=afe6958c65d95295e4daba7569fd038da64c6decc5f4be5f447b899e38860d86b32f33478d3ca0e5fad847a13109bf26ebd39eb73f26810d6a0ca29c2a782fbea07b753d83f38016f34abf14cb
CETV1,https://mursor.ottiptv.cc/bst/zgjy1ott@4000000.m3u8

涓滄柟鍗,https://mursor.ottiptv.cc/bst/hddfws@4000000.m3u8
娌冲寳鍗,https://mursor.ottiptv.cc/bst/hbwshd4m@4000000.m3u8
娴欐睙鍗,https://mursor.ottiptv.cc/bst/zjwshd@4000000.m3u8
鍖椾含鍗,https://mursor.ottiptv.cc/bst/bjwshd@4000000.m3u8
姹熻嫃鍗,https://mursor.ottiptv.cc/bst/jswshd@4000000.m3u8
澶╂触鍗,https://mursor.ottiptv.cc/bst/tjwshd@4000000.m3u8
婀栧崡鍗,https://mursor.ottiptv.cc/bst/hnwshd@4000000.m3u8
灞变笢鍗,https://mursor.ottiptv.cc/bst/sdwshd@4000000.m3u8
涓滃崡鍗,https://mursor.ottiptv.cc/bst/dnwshd@4000000.m3u8
瀹夊窘鍗,https://mursor.ottiptv.cc/bst/ahwshd@4000000.m3u8
婀栧寳鍗,https://mursor.ottiptv.cc/bst/hbwshd@4000000.m3u8
鐢樿們鍗,https://mursor.ottiptv.cc/bst/gswshd4m@4000000.m3u8
骞夸笢鍗,https://mursor.ottiptv.cc/bst/gdwshd@4000000.m3u8
骞胯タ鍗,https://mursor.ottiptv.cc/bst/gxwshd4m@4000000.m3u8
璐靛窞鍗,https://mursor.ottiptv.cc/bst/gzwshd4m@4000000.m3u8
閲嶅簡鍗,https://mursor.ottiptv.cc/bst/cqwshd4m@4000000.m3u8
娌冲崡鍗,https://mursor.ottiptv.cc/bst/henwshd4m@4000000.m3u8
榛戦緳姹熷崼瑙�,https://mursor.ottiptv.cc/bst/hljwshd@4000000.m3u8
娴峰崡鍗,https://mursor.ottiptv.cc/bst/hainwshd4m@4000000.m3u8
鍚夋灄鍗,https://mursor.ottiptv.cc/bst/jlwshd4m@4000000.m3u8
姹熻タ鍗,https://mursor.ottiptv.cc/bst/jxwshd@4000000.m3u8

杈藉畞鍗,https://mursor.ottiptv.cc/bst/lnwshd@4000000.m3u8
娣卞湷鍗,https://mursor.ottiptv.cc/bst/szwshd@4000000.m3u8
浜戝崡鍗,https://mursor.ottiptv.cc/bst/ynwshd4m@4000000.m3u8
鍥涘窛鍗,https://mursor.ottiptv.cc/bst/scwshd4m@4000000.m3u8
灞辫タ鍗,https://mursor.ottiptv.cc/bst/shanxiws@1300000.m3u8
